sim_bin,mean_sim,emp_precision,count
"(0.499, 0.534]",0.5170451146850259,0.30472103004291845,233
"(0.534, 0.567]",0.5517214920658332,0.5240384615384616,208
"(0.567, 0.601]",0.5844052425660323,0.5958188153310104,287
"(0.601, 0.634]",0.6178463463125557,0.7793103448275862,290
"(0.634, 0.668]",0.651863340770497,0.9029411764705882,340
"(0.668, 0.702]",0.6858421852789729,0.9542168674698795,415
"(0.702, 0.735]",0.7194025629034666,0.983177570093458,535
"(0.735, 0.769]",0.7530122663795789,0.9946380697050938,746
"(0.769, 0.802]",0.7865652350225935,0.9988425925925926,864
"(0.802, 0.836]",0.820174927709435,0.9982788296041308,1162
"(0.836, 0.869]",0.853355339946865,0.9986235375086029,1453
"(0.869, 0.903]",0.885772412114588,1.0,1555
"(0.903, 0.937]",0.9178243202431142,1.0,1153
"(0.937, 0.97]",0.9461319408839262,1.0,237
